Class,"0","1","2","3","4"
ACC,0.96,0.99,0.98,0.96,0.97
AGF,0.91636,0.99378,0.96857,0.97546,0.92237
AGM,0.94787,0.99096,0.97698,0.96371,0.95664
AM,-2,1,0,4,-3
AUC,0.91875,0.99375,0.96875,0.975,0.925
AUCI,Excellent,Excellent,Excellent,Excellent,Excellent
AUPR,0.89722,0.97619,0.95,0.91667,0.925
BB,0.85,0.95238,0.95,0.83333,0.85
BCD,0.01,0.005,0.0,0.02,0.015
BM,0.8375,0.9875,0.9375,0.95,0.85
CEN,0.16659,0.04356,0.0887,0.13513,0.12278
DOR,447.66667,None,1501.0,None,None
DP,1.46155,None,1.75123,None,None
DPI,Limited,None,Limited,None,None
ERR,0.04,0.01,0.02,0.04,0.03
F0.5,0.92391,0.96154,0.95,0.86207,0.96591
F1,0.89474,0.97561,0.95,0.90909,0.91892
F2,0.86735,0.9901,0.95,0.96154,0.87629
FDR,0.05556,0.04762,0.05,0.16667,0.0
FN,3,0,1,0,3
FNR,0.15,0.0,0.05,0.0,0.15
FOR,0.03659,0.0,0.0125,0.0,0.03614
FP,1,1,1,4,0
FPR,0.0125,0.0125,0.0125,0.05,0.0
G,0.89598,0.9759,0.95,0.91287,0.92195
GI,0.8375,0.9875,0.9375,0.95,0.85
GM,0.91617,0.99373,0.96857,0.97468,0.92195
HD,4,1,2,4,3
IBA,0.72396,0.99984,0.90295,0.9975,0.7225
ICSI,0.79444,0.95238,0.9,0.83333,0.85
IS,2.23947,2.25154,2.24793,2.05889,2.32193
J,0.80952,0.95238,0.90476,0.83333,0.85
LS,4.72222,4.7619,4.75,4.16667,5.0
MCC,0.87197,0.96978,0.9375,0.88976,0.90514
MCCI,Strong,Very Strong,Very Strong,Strong,Very Strong
MCEN,0.24713,0.06972,0.13944,0.19916,0.18276
MK,0.90786,0.95238,0.9375,0.83333,0.96386
N,80,80,80,80,80
NLR,0.1519,0.0,0.05063,0.0,0.15
NLRI,Fair,Good,Good,Good,Fair
NPV,0.96341,1.0,0.9875,1.0,0.96386
OC,0.94444,1.0,0.95,1.0,1.0
OOC,0.89598,0.9759,0.95,0.91287,0.92195
OP,0.88517,0.98371,0.96065,0.93436,0.88892
P,20,20,20,20,20
PLR,68.0,80.0,76.0,20.0,None
PLRI,Good,Good,Good,Good,None
POP,100,100,100,100,100
PPV,0.94444,0.95238,0.95,0.83333,1.0
PRE,0.2,0.2,0.2,0.2,0.2
Q,0.99554,None,0.99867,None,None
QI,Strong,None,Strong,None,None
RACC,0.036,0.042,0.04,0.048,0.034
RACCU,0.0361,0.04202,0.04,0.0484,0.03422
TN,79,79,79,76,80
TNR,0.9875,0.9875,0.9875,0.95,1.0
TON,82,79,80,76,83
TOP,18,21,20,24,17
TP,17,20,19,20,17
TPR,0.85,1.0,0.95,1.0,0.85
Y,0.8375,0.9875,0.9375,0.95,0.85
dInd,0.15052,0.0125,0.05154,0.05,0.15
sInd,0.89357,0.99116,0.96356,0.96464,0.89393
