Class,"0","1","2","3","4"
ACC,0.94,0.97,0.96,0.935,0.945
AGF,0.88335,0.96247,0.90586,0.9219,0.9278
AGM,0.92399,0.96801,0.9447,0.93145,0.94039
AM,-4,2,-6,5,3
AUC,0.8875,0.9625,0.90938,0.92188,0.92813
AUCI,Very Good,Excellent,Excellent,Excellent,Excellent
AUPR,0.84444,0.92738,0.89779,0.85,0.8686
BB,0.8,0.90476,0.825,0.8,0.83721
BCD,0.01,0.005,0.015,0.0125,0.0075
BM,0.775,0.925,0.81875,0.84375,0.85625
CEN,0.23781,0.11441,0.1539,0.25024,0.20024
DOR,156.0,741.0,749.57143,151.0,196.71429
DP,1.20913,1.58221,1.58497,1.20133,1.26466
DPI,Limited,Limited,Limited,Limited,Limited
ERR,0.06,0.03,0.04,0.065,0.055
F0.5,0.86957,0.91346,0.9375,0.81818,0.84906
F1,0.84211,0.92683,0.89189,0.84706,0.86747
F2,0.81633,0.94059,0.85052,0.87805,0.8867
FDR,0.11111,0.09524,0.02941,0.2,0.16279
FN,8,2,7,4,4
FNR,0.2,0.05,0.175,0.1,0.1
FOR,0.04878,0.01266,0.04217,0.02581,0.02548
FP,4,4,1,9,7
FPR,0.025,0.025,0.00625,0.05625,0.04375
G,0.84327,0.92711,0.89484,0.84853,0.86804
GI,0.775,0.925,0.81875,0.84375,0.85625
GM,0.88318,0.96242,0.90545,0.92162,0.9277
HD,12,6,8,13,11
IBA,0.6435,0.90309,0.6815,0.81221,0.81221
ICSI,0.68889,0.85476,0.79559,0.7,0.73721
IS,2.152,2.17754,2.27886,2.0,2.06559
J,0.72727,0.86364,0.80488,0.73469,0.76596
LS,4.44444,4.52381,4.85294,4.0,4.18605
MCC,0.8069,0.9084,0.87186,0.80822,0.83369
MCCI,Strong,Very Strong,Strong,Strong,Strong
MCEN,0.33908,0.1724,0.22236,0.36382,0.28962
MK,0.84011,0.8921,0.92842,0.77419,0.81173
N,160,160,160,160,160
NLR,0.20513,0.05128,0.1761,0.10596,0.10458
NLRI,Poor,Good,Fair,Fair,Fair
NPV,0.95122,0.98734,0.95783,0.97419,0.97452
OC,0.88889,0.95,0.97059,0.9,0.9
OOC,0.84327,0.92711,0.89484,0.84853,0.86804
OP,0.84141,0.95701,0.86722,0.91127,0.9147
P,40,40,40,40,40
PLR,32.0,38.0,132.0,16.0,20.57143
PLRI,Good,Good,Good,Good,Good
POP,200,200,200,200,200
PPV,0.88889,0.90476,0.97059,0.8,0.83721
PRE,0.2,0.2,0.2,0.2,0.2
Q,0.98726,0.9973,0.99734,0.98684,0.98988
QI,Strong,Strong,Strong,Strong,Strong
RACC,0.036,0.042,0.034,0.045,0.043
RACCU,0.0361,0.04202,0.03422,0.04516,0.04306
TN,156,156,159,151,153
TNR,0.975,0.975,0.99375,0.94375,0.95625
TON,164,158,166,155,157
TOP,36,42,34,45,43
TP,32,38,33,36,36
TPR,0.8,0.95,0.825,0.9,0.9
Y,0.775,0.925,0.81875,0.84375,0.85625
dInd,0.20156,0.0559,0.17511,0.11473,0.10915
sInd,0.85748,0.96047,0.87618,0.91887,0.92282
